e69de29bb2d1      0B .nojekyll
ed4dcf1de313    234B build/lib/acme_diags/metrics/min_cdms.py
edd050af71ab    234B build/lib/acme_diags/metrics/max_cdms.py
1d5849e54048    236B acme_diags/driver/utils/__pycache__/__init__.cpython-37.pyc
defdfc2a84dd    238B tests/system/all_sets_api.py
0df9fcf5eb1c    241B acme_diags/plotset5/obs_info_dictionary.json
55b7292ea42e    247B acme_diags/plotset5/set5_diags_MERRA.json
c8f9a4cfda1d    247B acme_diags/plotset5/mydiags.json
9895078f5ebc    248B build/lib/acme_diags/metrics/__init__.py
5b2c5d7de47e    249B conda/e3sm_diags_env_testing.yml
1bb28e2d8d8c    250B docs/html/objects.inv
48563c3d7330    252B e3sm_diags.egg-info/PKG-INFO
4858f2fa93c3    252B acme_diags/plotset5/set7_diags.json
9d3c9f905e6e    252B acme_diags/plotset5/example_json/set5_diags_NVAP.json
c5178e194b21    252B docs/html/_sources/examples/index.rst.txt
0844fb33e3ef    255B acme_diags/plotset5/set7_diags.json
ecb8866fea52    257B acme_diags/plotset5/my_custom_diags.json
dcff45265e6e    258B acme_diags/driver/default_diags/qbo_model_vs_model.cfg
568a4e163d77    259B acme_diags/plotset5/example_json/set5_diags_CMAP.json
b0a913ddd485    259B acme_diags/driver/default_diags/diurnal_cycle_model_vs_obs.cfg
01335fe8aae5    261B acme_diags/plotset5/set7_diags.json
39aa4c46a15b    261B acme_diags/set7_test.json
d67509b63cce    261B acme_diags/plotset5/set5_diags_default.json
309dbf25960d    262B acme_diags/plotset5/set5_diags.json
d6441b88d30c    262B docs/html/objects.inv
31eae17d8760    266B docs/html/searchindex.js
0be963f6d956    267B acme_diags/plotset5/example_json/set5_diags_AIRS.json
6f2d83a79cd7    267B acme_diags/plotset5/example_json/set5_diags_PRECL.json
04ac57d07b12    268B acme_diags/plotset5/set5_diags_CRU.json
3826c4df6103    268B tests/system/model_climo_vs_obs_climo.py
9e211ce00107    268B tests/system/model_climo_vs_obs_climo.py
d7b3171860de    268B acme_diags/plot/colormaps/precip_diff_12lev.rgb
71df6e910202    269B acme_diags/plotset5/example_json/set5_diags_UWisc.json
ae5cd5ce9f21    273B acme_diags/parameter/__init__.py
9a7352c234ee    276B acme_diags/plotset5/set5_diags.json
99a3c4100e7f    278B acme_diags/plotset5/obs_info.json
a54d137d6621    280B acme_diags/plotset5/set7_diags_ref.json
44d6afe9889c    281B _build/html/master/_sources/quickguides/old/index.rst.txt
f7798896924f    281B acme_diags/plotset5/set5_diags_MERRA_domains.json
719d194d2bf3    284B acme_diags/plotset5/set5_diags.json
742a4d2a979c    284B acme_diags/viewer/default_viewer.py
81df1dc5b517    284B acme_diags/metrics/mean.py
d755ed8ab053    284B examples/obs-vs-obs/myparams.py
a858a410e4fa    286B _build/html/master/_static/file.png
b0bb5c0120f7    286B acme_diags/plotset5/set5_diags.json
e85d645eebbb    287B acme_diags/plotset5/example_json/set5_diags_domains.json
0f413147c649    288B acme_diags/__pycache__/__init__.cpython-37.pyc
1c3b68f34755    288B acme_diags/plotset5/set5_diags_NVA.json
47fce66c4e2b    292B acme_diags/plotset5/example_json/set5_diags_MERRA_domains.json
0749defff928    294B acme_diags/plotset5/set5_diags.json
2d05a27dc4c1    295B acme_diags/metrics/mean.py
0262ecea37c2    296B build/lib/acme_diags/metrics/mean.py
af77ae7a19ee    297B conda/conda_upload.sh
7feb4050b396    301B acme_diags/plotset5/set5_diags.json
6d8651025fb4    303B docs/html/_static/documentation_options.js
5b0ea6127a41    304B acme_diags/plotset5/set5_diags_CRU.json
61475e2cae1f    307B acme_diags/parser/__init__.py
6794651b3d09    308B acme_diags/plotset5/plot_set_5.py
4e4fafd321ee    316B tests/system/all_sets_api.py
a04c9e7e88fd    317B setup.py
a31d98e5f03c    317B acme_diags/plotset5/read_json.py
0bf107f4de7c    322B setup.py
e3a50b8f9436    326B acme_diags/driver/default_diags/area_mean_time_series_model_vs_model.cfg
0a194f0edeac    328B acme_diags/driver/control_runs/MAM_metrics_taylor_diag_B1850_v0.csv
7ba10db9cda5    328B acme_diags/driver/control_runs/DJF_metrics_taylor_diag_B1850_v0.csv
84091e060507    328B acme_diags/driver/control_runs/MAM_metrics_taylor_diag_B1850_v0.csv
e401ffd2169e    328B acme_diags/parameter/diurnal_cycle_parameter.py
048f02a2f430    329B acme_diags/driver/control_runs/SON_metrics_taylor_diag_B1850_v0.csv
5837b8ea17f9    329B examples/model-vs-model/myparams.py
e30e2b0ff8e1    329B acme_diags/driver/control_runs/SON_metrics_taylor_diag_B1850_v0.csv
1f705e6fdc52    330B acme_diags/driver/control_runs/ANN_metrics_taylor_diag_B1850_v0.csv
e0e9f936df49    330B acme_diags/driver/control_runs/JJA_metrics_taylor_diag_B1850_v0.csv
246feac6cb43    338B acme_diags/parameter/__init__.py
cdd93722089e    343B acme_diags/plot/colormaps/temp_diff_18lev.rgb
977caa54896c    348B acme_diags/parser/__init__.py
cd26baae553f    349B acme_diags/parser/__init__.py
2fa8c97fe42a    350B _build/html/master/_static/documentation_options.js
2a56be9025c9    355B acme_diags/plotset5/set5_diags.json
3fcdd730dd17    355B tests/system/model_climo_vs_model_climo.py
922ffe5d0f5c    355B tests/system/model_climo_vs_model_climo.py
d0b86eb592d0    362B conda/nightly_conda_upload.sh
2010b241d138    363B tests/system/model_climo_vs_model_climo.py
41a08302dfe9    364B conda/conda_upload.sh
9a636169fa89    364B conda/conda_upload.sh
e081c7828209    364B docs/html/_sources/examples.rst.txt
0781ec1847d4    371B acme_diags/driver/control_runs/DJF_metrics_taylor_diag_B1850_v0.csv
20b23af9e5a0    371B acme_diags/plot/cartopy/__init__.py
a0513d6d95ba    371B acme_diags/driver/control_runs/JJA_metrics_taylor_diag_B1850_v0.csv
e27ebd4af2ab    373B acme_diags/driver/control_runs/ANN_metrics_taylor_diag_B1850_v0.csv
4721a927dad5    374B docs/html/_sources/index.rst.txt
4d4c59df6295    374B setup.py
6a360da88d9f    377B conda/conda_upload.sh
c0655c195989    377B examples/ex5-model-vs-obs/diags.cfg
1bf5292891e6    378B acme_diags/set4_diags.json
7685cb8b79e5    378B acme_diags/set3_test.json
dca6468c139c    381B travis_env.yml
00f0403c5c2f    382B acme_diags/parameter/__init__.py
a945264a109c    382B acme_diags/plotset5/set5_diags.json
3cf4f23aa19b    383B tests/system/all_sets.py
dc9de515cfbf    383B acme_diags/plotset5/set5_diags.json
4d244cd52151    384B acme_diags/parameter/__init__.py
0c89b86641a9    385B conda/e3sm_diags_env.yml
ac563b67f9f3    388B examples/model-vs-obs/mydiags.cfg
f827e2f4e788    393B acme_diags/parameter/zonal_mean_2d_parameter.py
c09e06e2dd39    395B acme_diags/cloud_test.json
3829802ec2e0    401B acme_diags/meridional_mean_2d.cfg~
1565a28cbcd7    402B acme_diags/plotset5/mydiags_model2model.pyc
76bc6a2ac153    404B acme_diags/parameter/meridional_mean_2d_parameter.py
16f5b6e42e9d    405B _build/html/master/_static/quick-guide-aims4/performance_test.py
1af0fbcb10cd    405B acme_diags/plotset5/set5_diags_demo.json
a529541e13f5    408B acme_diags/lat_lon_vector_u850.cfg~
062b1ce5784c    409B acme_diags/plotset5/mydiags_model_to_model.pyc
ba290909ef61    409B acme_diags/parameter/zonal_mean_2d_parameter.py
acc721b21c15    410B tests/test_acme_derivations.py
41e70a627a97    413B docs/html/objects.inv
d9c14919c108    415B acme_diags/driver/default_diags/area_mean_time_series_model_vs_obs.cfg
84a760f8aa4c    418B acme_diags/setcosp.json
d6b2f5cd914a    418B acme_diags/lat_lon_vector_u850.cfg
e73890a964d3    419B acme_diags/parameter/meridional_mean_2d_parameter.py
055fe0585f54    421B acme_diags/driver/default_diags/regional_mean_time_series_model_vs_obs.cfg
097d031b3be3    421B docs/html/objects.inv
75031d9b8120    421B acme_diags/driver/default_diags/regional_mean_time_series_model_vs_obs.cfg
9846bf90f113    422B acme_diags/meridional_mean_2d.cfg
ba7aaf7a2ae1    422B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-V_srf-ANN-ocean.json
7b4cb8055fe7    423B acme_diags/parser/__init__.py
0d79af177d06    424B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-V-850-ANN-ocean.json
f9cb64d0f0af    425B acme_diags/lwcfsrf.json
fec16349620b    425B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-V-850-ANN-global.json
446ef60aa887    426B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-V_srf-ANN-global.json
9f4e6a75c1a8    426B tests/test_acme_driver.py
2b2c1887178a    429B acme_diags/plotset5/set5_XIEARKIN/index.json
7a7e2f28ae62    430B docs/html/objects.inv
4ecd79ef5cb9    431B docs/html/objects.inv
353660900647    434B docs/html/objects.inv
7132f9cc33b4    434B acme_diags/metrics/rmse.py
f1829180e707    434B 1set/viewer/index.json
133fcfe516e5    435B acme_diags/driver/default_diags/regional_mean_time_series_model_vs_obs.cfg
163c0d227593    435B tests/test_acme_driver.py
428539111730    435B examples/model-to-model/myparams.py
495a81192e57    436B tests/test_acme_driver.py
7c4b5194a51b    436B analysis_data_preprocess/README
49ffa736e5dd    437B acme_diags/plotset5/set5_diags_MERRA.json
56d9cc266873    438B acme_diags/plotset5/example_json/set5_diags_3para.json
2ad2a9265686    441B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-TAUY-ANN-global.json
9b38e8d2959b    441B build/lib/acme_diags/metrics/std.py
9f1adf4ced57    442B acme_diags/metrics/corr.py
14517f2a9034    443B acme_diags/lat_lon_vector.cfg
d1b2cb12793e    443B tests/test_acme_driver.py
e7d944c7fde1    443B acme_diags/model_to_obs/lat_lon_vector/ERA-Interim/ERA-Interim-TAUY-ANN-ocean.json
c6c8300d90f7    444B analysis_data_preprocess/add_yrs_averaged_to_external_files.sh
ea946182fae2    444B tests/1set/viewer/index.json
664da4936bab    445B acme_diags/metrics/rmse.py
9a0d7dcad56b    446B docs/html/_sources/index.rst.txt
311b2b08a2e1    447B acme_diags/driver/control_runs/ANN_metrics_taylor_diag_B1850_v0.csv
8f3cb8b9c0aa    447B acme_diags/plotset5/set5_PRECL/index.json
343a2bc3c90f    448B docs/html/objects.inv
ad11044da0c6    448B docs/html/objects.inv
3cf245fe358d    450B .vscode/settings.json
9fcda5813384    450B acme_diags/plotset5/set5basicparameter.py
8470af02e120    451B acme_diags/lat_lon_vector.cfg~
a0ab4c98b9e8    451B acme_diags/driver/default_diags/area_mean_time_series_model_vs_obs.cfg
ad2fb66c5320    452B docs/examples/temp-at-diff-levels-model-vs-obs/myparams.py
b85d7e945282    452B docs/examples/temp-at-diff-levels-model-vs-obs/myparams.py
8998c19f60eb    453B acme_diags/plotset5/set5_UWisc_LWP/index.json
d7be48bfdbc8    453B acme_diags/metrics/corr.py
5c1f24098acf    459B acme_diags/parameter/zonal_mean_2d_parameter.py
6f3d4a037c38    459B acme_diags/driver/default_diags/area_mean_time_series_model_vs_obs.cfg
159deb864d9e    460B acme_diags/table/viewer/index.json
2ececca0f052    460B docs/html/objects.inv
dea60f6b6f73    460B pyproject.toml
0164ea09c0f9    461B docs/html/objects.inv
6878a081fede    461B sample_output/modTS_vs_modTS_3years/prov/index.php
5a882c504932    462B docs/html/objects.inv
a3f58a28222a    462B docs/html/objects.inv
ccc2820c7fb5    463B conda/meta.yaml
f3b9170296aa    463B docs/html/objects.inv
83f599fce1e4    464B docs/examples/model-to-model/myparams.py
6d57bfc95f0c    465B acme_diags/parameter/__init__.py
47a185c46fe4    470B acme_diags/test_vector.pyc
b9ad123fcd2a    472B acme_diags/plotset5/set5_diags_JRA25.json
6d8e55182db2    473B docs/html/objects.inv
f430fb5e898a    475B acme_diags/plotset5/plot_set_5.py
7738e28b851c    477B acme_diags/plotset5/set7_diags.json
dd5dfe593511    477B acme_diags/plotset5/set7_diags.json
8099f7eb9cf5    479B acme_diags/plotset5/set7_diags.json
27f0dcfc5536    481B tests/system/all_sets_results/viewer/table-data/ANN_metrics_table.html
7ef18f15057c    481B acme_diags/plotset5/set5_diags_GPCP.json
004ce0d15b85    484B conda/meta.yaml
6835efe212d0    484B pyproject.toml
b81179673da1    484B pyproject.toml
bf6aa80602d9    484B sample_output/modTS_vs_modTS_3years/viewer/viewer/js/npm.js
360f359362d9    485B acme_diags/metrics/rmse.py
0c8edd7cbe06    487B acme_diags/plotset5/mydiags_model_to_model.py
356741e80e25    487B tests/climo/all_sets_climo.cfg
1ca65eca0dae    489B acme_diags/plotset5/set5_diags_GPCP.json
2c507eea134b    491B acme_diags/plotset5/mydiags_model_to_model.py
3fd34c779e31    492B conda/e3sm_diags_env_dev.yml
d03274a9049c    493B acme_diags/metrics/corr.py
629f56b02d26    497B acme_diags/plotset5/set5_diags_WHOI.json
e53b8408e4ce    500B acme_diags/parameter/arm_diags_parameter.py
5bcf8d24b224    501B acme_diags/parameter/arm_diags_parameter.py
c720f20dd7ef    502B acme_diags/plotset5/example_json/set5_diags_WARREN.json
c2f9f2f1cd36    503B acme_diags/parser/__init__.py
dc1ffa95067e    504B conda/meta.yaml
e363407a62bb    505B build/lib/acme_diags/metrics/rmse.py
2f055cbcb531    506B acme_diags/mydiags_v1.pyc
0ecca1abf7b5    507B examples/model-vs-obs/myparams.py
c0772be7c63a    508B docs/html/objects.inv
ae0e8b6fda90    509B docs/html/objects.inv
9188202f7e8d    510B source/temp-at-diff-levels-model-vs-obs/myparams.py
8ec1846b8e85    512B examples/model-vs-obs/myparams.py
b58310304d5f    512B docs/html/objects.inv
70737755317e    513B acme_diags/plotset5/set5basicparameter.py
914f9c8b98bb    513B build/lib/acme_diags/metrics/corr.py
57a496f76bd2    517B acme_diags/plotset5/set5basicparameter.py
f3e249530da3    518B .vscode/settings.json
417e35c6802e    520B acme_diags/plotset5/mydiags_derived_var.json
9deaa66a45c9    521B conda/meta.yaml
16e1858a82c2    525B acme_diags/plotset5/example_json/set5_diags_WILLMOTT.json
9d2990a1f42b    526B .vscode/settings.json
29a66a7ce396    527B conda/meta.yaml
b829c4e774f9    527B conda/meta.yaml
99c8ef1673fc    530B docs/html/objects.inv
1f2531639928    532B acme_diags/table_all/lat_lon/SST_CL_HadISST/HadISST_CL-SST-ANN-global.json
6089f579a1fd    532B tests/1set/lat_lon/ERA-Interim/ERA-Interim-T-850-ANN-global.json
cb7a182d88c0    532B analysis_data_preprocess/create_TRMM-3B43v-7_3hr_climo.sh
d06eaae4a5ab    532B conda/meta.yaml
32bc5db0ac75    533B acme_diags/mydiags.pyc
063fc21ee0cf    535B conda/meta.yaml
14a26c1f7893    536B acme_diags/PET0.ESMF_LogFile
b4c1f7622007    538B conda/meta.yaml
85e4c4cce9af    539B conda/meta.yaml
8b25162b8fcc    539B docs/examples/temp-at-diff-levels-model-vs-obs/myparams.py
6ae6774c8eb7    540B sample_output/modTS_vs_modTS_3years/lat_lon/model_vs_model/-FSNS-DJF-global.json
6b3e5fae2885    540B docs/examples/temp-at-diff-levels-model-vs-obs/myparams.py
f6f66beb7fc3    540B sample_output/modTS_vs_modTS_3years/lat_lon/model_vs_model/-FSNTOA-JJA-global.json
030d75030784    541B sample_output/modTS_vs_modTS_3years/lat_lon/model_vs_model/-FSNTOA-DJF-global.json
0b320b08c356    541B acme_diags/table_all/lat_lon/GPCP/GPCP-PRECT-ANN-Tropics.json
c6eb356c93db    541B sample_output/modTS_vs_modTS_3years/lat_lon/model_vs_model/-FSNS-JJA-global.json
f64a01aadf5e    543B tests/test_acme_derivations.py
f8de119516cf    543B acme_diags/table/lat_lon/GPCP/GPCP-PRECT-ANN-global.json
0de496cf753e    544B examples/model-vs-model/mydiags.cfg
0964eeaf7a92    545B build/lib/acme_diags/plotting/set7/plot.py
4eb853edd805    545B acme_diags/plotset5/set5parameter_lev.pyc
553472464290    545B acme_diags/plotset5/set5parameter_lev.pyc
62e1abcad8b1    545B build/lib/acme_diags/plotting/set5/plot.py
db5c213ca136    546B docs/html/objects.inv
cdef65a39012    547B acme_diags/plotset5/set5basicparameter.py
48041e2a862a    549B acme_diags/surface_heat_flux/viewer/index.json
56c165725ea7    549B conda/nightly_conda_upload.sh
f8be5b2a7602    550B conda/meta-nox.yaml
3c1fdd361f52    552B acme_diags/parameter/__init__.py
9bccc1b8ce05    553B acme_diags/obs_peter.json
c3a158a86f41    553B tests/lat_lon.cfg
beceefb7d88c    555B acme_diags/plotset5/set5parameter.py
cd67008710cc    555B tests/all_sets_nightly.py
e4d4448f981f    555B acme_diags/plotset5/set5parameter.py
0c6e3ee436ce    556B conda/meta-nox.yaml
41b5bd04b200    556B conda/meta-nox.yaml
452b25ffe9fa    557B acme_diags/plotset5/set5_diags_GPCP_segmantation_fault.json
7c8de8cba4e4    557B conda/meta-nox.yaml
5fadc5286c43    558B acme_diags/mydiags_peter.py
8a14c6dda585    560B conda/meta.yaml
067c540ac283    562B acme_diags/driver/default_diags/regional_mean_time_series_model_vs_obs.cfg
26027da6e501    568B conda/e3sm_diags_env_dev.yml
17dd2e3ad2e1    569B acme_diags/plotset5/set5basicparameter.py
e13594b793af    569B conda/meta-nox.yaml
b4bd7ce1152a    570B conda/meta.yaml
707d34c11689    571B conda/meta.yaml
97dbbae4db4c    571B conda/meta.yaml
4e9760ebfea6    574B acme_diags/mydiags_peter.pyc
2017c4e20d35    578B conda/meta-nox.yaml
57ed9725b49a    578B acme_diags/driver/default_diags/arm_diags_model_vs_model.cfg
fb9675a71a2b    578B conda/meta-release.yaml
574c9588c856    579B acme_diags/driver/default_diags/arm_diags_model_vs_model.cfg
f1024b8bf4b4    579B acme_diags/plotset5/example_json/set5_diags_LEGATES.json
a1b37be9be17    580B conda/meta.yaml
eb94e43707e7    580B conda/meta-nox.yaml
14f0066143f1    581B acme_diags/model_to_obs/prov/index.php
9f4ccbebcac1    582B acme_diags/mydiags_newobs_vs_oldobs.pyc
92f1bf8b5df8    583B conda/meta.yaml
cd66491f26ce    583B sample_output/modTS_vs_modTS_3years/lat_lon/model_vs_model/-T-850-JJA-global.json
